wavelength_nm,mono,green,blue,red
427.0000,0.0922,0.0193,0.4683,0.0422
428.0000,0.1256,0.0184,0.4723,0.0407
429.0000,0.1753,0.0176,0.4762,0.0392
430.0000,0.2544,0.0168,0.4800,0.0377
431.0000,0.3367,0.0162,0.4836,0.0362
432.0000,0.4133,0.0155,0.4871,0.0348
433.0000,0.4808,0.0148,0.4903,0.0334
434.0000,0.5392,0.0143,0.4935,0.0321
435.0000,0.5884,0.0137,0.4965,0.0307
436.0000,0.6163,0.0130,0.4993,0.0294
437.0000,0.5853,0.0124,0.5020,0.0282
438.0000,0.5435,0.0119,0.5045,0.0271
439.0000,0.5014,0.0115,0.5068,0.0261
440.0000,0.4588,0.0112,0.5089,0.0250
441.0000,0.4157,0.0108,0.5108,0.0240
442.0000,0.3860,0.0106,0.5125,0.0229
443.0000,0.3910,0.0105,0.5141,0.0219
444.0000,0.4255,0.0120,0.5155,0.0208
445.0000,0.4675,0.0144,0.5168,0.0197
446.0000,0.4997,0.0172,0.5178,0.0185
447.0000,0.4726,0.0204,0.5187,0.0173
448.0000,0.4302,0.0243,0.5193,0.0163
449.0000,0.3750,0.0288,0.5197,0.0154
450.0000,0.2918,0.0340,0.5198,0.0147
451.0000,0.2100,0.0384,0.5198,0.0140
452.0000,0.1294,0.0429,0.5195,0.0133
453.0000,0.0595,0.0482,0.5191,0.0129
454.0000,0.0508,0.0543,0.5182,0.0124
455.0000,0.0589,0.0612,0.5171,0.0120
456.0000,0.0674,0.0687,0.5158,0.0115
457.0000,0.0760,0.0771,0.5141,0.0111
458.0000,0.0855,0.0864,0.5121,0.0107
459.0000,0.0960,0.0962,0.5099,0.0104
460.0000,0.1078,0.1065,0.5076,0.0098
461.0000,0.1195,0.1170,0.5051,0.0092
462.0000,0.1314,0.1278,0.5024,0.0086
463.0000,0.1435,0.1390,0.4996,0.0080
464.0000,0.1561,0.1507,0.4967,0.0075
465.0000,0.1683,0.1627,0.4936,0.0070
466.0000,0.1800,0.1749,0.4904,0.0066
467.0000,0.1914,0.1876,0.4871,0.0065
468.0000,0.2031,0.2006,0.4835,0.0064
469.0000,0.2155,0.2138,0.4797,0.0064
470.0000,0.2286,0.2269,0.4758,0.0064
471.0000,0.2414,0.2401,0.4719,0.0064
472.0000,0.2545,0.2534,0.4677,0.0064
473.0000,0.2684,0.2666,0.4634,0.0064
474.0000,0.2828,0.2797,0.4592,0.0064
475.0000,0.3122,0.2928,0.4550,0.0064
476.0000,0.3657,0.3063,0.4505,0.0064
477.0000,0.4168,0.3196,0.4452,0.0063
478.0000,0.4659,0.3325,0.4400,0.0061
479.0000,0.5130,0.3452,0.4351,0.0060
480.0000,0.5575,0.3578,0.4303,0.0058
481.0000,0.5996,0.3711,0.4252,0.0057
482.0000,0.6245,0.3850,0.4199,0.0055
483.0000,0.6230,0.3985,0.4152,0.0054
484.0000,0.6217,0.4118,0.4116,0.0053
485.0000,0.6207,0.4249,0.4077,0.0053
486.0000,0.6188,0.4378,0.4027,0.0053
487.0000,0.6043,0.4504,0.3976,0.0053
488.0000,0.5871,0.4618,0.3927,0.0053
489.0000,0.5720,0.4724,0.3878,0.0053
490.0000,0.5586,0.4830,0.3825,0.0053
491.0000,0.5498,0.4934,0.3767,0.0053
492.0000,0.5435,0.5036,0.3711,0.0053
493.0000,0.5355,0.5134,0.3661,0.0053
494.0000,0.5444,0.5231,0.3610,0.0053
495.0000,0.5589,0.5321,0.3559,0.0053
496.0000,0.5716,0.5402,0.3510,0.0053
497.0000,0.5801,0.5476,0.3459,0.0053
498.0000,0.5855,0.5545,0.3409,0.0053
499.0000,0.5918,0.5608,0.3358,0.0053
500.0000,0.6040,0.5665,0.3306,0.0053
501.0000,0.6105,0.5717,0.3254,0.0053
502.0000,0.6134,0.5765,0.3202,0.0051
503.0000,0.6183,0.5810,0.3147,0.0049
504.0000,0.6259,0.5846,0.3093,0.0048
505.0000,0.6320,0.5877,0.3039,0.0046
506.0000,0.6344,0.5903,0.2984,0.0045
507.0000,0.6318,0.5925,0.2928,0.0043
508.0000,0.6289,0.5942,0.2873,0.0042
509.0000,0.6261,0.5955,0.2816,0.0040
510.0000,0.6229,0.5967,0.2758,0.0039
511.0000,0.6203,0.5978,0.2698,0.0037
512.0000,0.6185,0.5988,0.2636,0.0036
513.0000,0.6187,0.5999,0.2574,0.0033
514.0000,0.6212,0.6007,0.2509,0.0030
515.0000,0.6257,0.6015,0.2444,0.0027
516.0000,0.6313,0.6022,0.2380,0.0026
517.0000,0.6349,0.6027,0.2314,0.0023
518.0000,0.6379,0.6032,0.2249,0.0020
519.0000,0.6401,0.6038,0.2183,0.0017
520.0000,0.6406,0.6042,0.2118,0.0016
521.0000,0.6405,0.6047,0.2053,0.0014
522.0000,0.6401,0.6051,0.1988,0.0013
523.0000,0.6395,0.6056,0.1923,0.0011
524.0000,0.6387,0.6060,0.1858,0.0011
525.0000,0.6376,0.6064,0.1795,0.0011
526.0000,0.6365,0.6067,0.1734,0.0011
527.0000,0.6354,0.6069,0.1673,0.0011
528.0000,0.6342,0.6070,0.1611,0.0011
529.0000,0.6332,0.6072,0.1549,0.0011
530.0000,0.6326,0.6072,0.1487,0.0011
531.0000,0.6322,0.6072,0.1426,0.0011
532.0000,0.6322,0.6072,0.1365,0.0011
533.0000,0.6325,0.6072,0.1302,0.0011
534.0000,0.6329,0.6071,0.1241,0.0011
535.0000,0.6334,0.6069,0.1182,0.0011
536.0000,0.6340,0.6068,0.1124,0.0011
537.0000,0.6342,0.6064,0.1066,0.0012
538.0000,0.6343,0.6059,0.1010,0.0014
539.0000,0.6340,0.6055,0.0958,0.0017
540.0000,0.6333,0.6049,0.0905,0.0021
541.0000,0.6317,0.6044,0.0853,0.0027
542.0000,0.6287,0.6039,0.0805,0.0033
543.0000,0.6242,0.6031,0.0760,0.0041
544.0000,0.6194,0.6024,0.0716,0.0052
