wavelength_nm,mono,green,blue,red
856.0000,0.0973,0.0878,0.0909,0.0980
857.0000,0.0961,0.0871,0.0909,0.0970
858.0000,0.0949,0.0863,0.0910,0.0959
859.0000,0.0937,0.0856,0.0911,0.0949
860.0000,0.0926,0.0848,0.0911,0.0939
861.0000,0.0915,0.0841,0.0912,0.0931
862.0000,0.0905,0.0834,0.0913,0.0923
863.0000,0.0896,0.0826,0.0913,0.0915
864.0000,0.0889,0.0819,0.0914,0.0906
865.0000,0.0882,0.0813,0.0915,0.0899
866.0000,0.0875,0.0806,0.0915,0.0890
867.0000,0.0869,0.0798,0.0915,0.0882
868.0000,0.0861,0.0791,0.0913,0.0874
869.0000,0.0855,0.0786,0.0909,0.0867
870.0000,0.0848,0.0781,0.0902,0.0859
871.0000,0.0839,0.0777,0.0894,0.0852
872.0000,0.0833,0.0771,0.0884,0.0844
873.0000,0.0827,0.0766,0.0871,0.0839
874.0000,0.0820,0.0761,0.0858,0.0834
875.0000,0.0813,0.0757,0.0844,0.0828
876.0000,0.0806,0.0752,0.0831,0.0822
877.0000,0.0799,0.0747,0.0817,0.0816
878.0000,0.0793,0.0740,0.0804,0.0810
879.0000,0.0787,0.0734,0.0790,0.0805
880.0000,0.0779,0.0728,0.0777,0.0800
881.0000,0.0771,0.0621,0.0763,0.0794
882.0000,0.0764,0.0515,0.0749,0.0789
883.0000,0.0758,0.0411,0.0736,0.0785
884.0000,0.0753,0.0307,0.0724,0.0781
885.0000,0.0748,0.0204,0.0711,0.0778
886.0000,0.0744,0.0101,0.0700,0.0773
887.0000,0.0739,0.0000,0.0689,0.0767
888.0000,0.0735,0.0000,0.0680,0.0763
889.0000,0.0730,0.0000,0.0674,0.0758
890.0000,0.0725,0.0000,0.0667,0.0753
891.0000,0.0719,0.0000,0.0661,0.0747
892.0000,0.0713,0.0000,0.0654,0.0740
893.0000,0.0707,0.0000,0.0649,0.0733
894.0000,0.0701,0.0000,0.0644,0.0727
895.0000,0.0696,0.0000,0.0638,0.0721
896.0000,0.0689,0.0000,0.0631,0.0713
897.0000,0.0684,0.0000,0.0624,0.0705
898.0000,0.0680,0.0000,0.0618,0.0699
899.0000,0.0674,0.0000,0.0612,0.0693
900.0000,0.0667,0.0000,0.0605,0.0687
901.0000,0.0660,0.0000,0.0596,0.0681
902.0000,0.0654,0.0000,0.0588,0.0673
903.0000,0.0648,0.0000,0.0581,0.0665
904.0000,0.0642,0.0000,0.0573,0.0659
905.0000,0.0635,0.0000,0.0564,0.0652
906.0000,0.0628,0.0000,0.0556,0.0644
907.0000,0.0622,0.0000,0.0550,0.0637
908.0000,0.0616,0.0000,0.0545,0.0629
909.0000,0.0610,0.0000,0.0539,0.0623
910.0000,0.0603,0.0000,0.0531,0.0616
911.0000,0.0594,0.0000,0.0522,0.0609
912.0000,0.0588,0.0000,0.0515,0.0601
913.0000,0.0580,0.0000,0.0509,0.0595
914.0000,0.0571,0.0000,0.0503,0.0589
915.0000,0.0562,0.0000,0.0495,0.0581
916.0000,0.0554,0.0000,0.0488,0.0575
917.0000,0.0547,0.0000,0.0481,0.0568
918.0000,0.0541,0.0000,0.0475,0.0561
919.0000,0.0533,0.0000,0.0469,0.0555
920.0000,0.0525,0.0000,0.0463,0.0548
921.0000,0.0519,0.0000,0.0455,0.0543
922.0000,0.0514,0.0000,0.0448,0.0537
923.0000,0.0506,0.0000,0.0442,0.0530
924.0000,0.0497,0.0000,0.0437,0.0523
925.0000,0.0490,0.0000,0.0433,0.0517
926.0000,0.0482,0.0000,0.0428,0.0511
927.0000,0.0475,0.0000,0.0421,0.0504
928.0000,0.0467,0.0000,0.0414,0.0495
929.0000,0.0459,0.0000,0.0407,0.0488
930.0000,0.0451,0.0000,0.0401,0.0482
931.0000,0.0445,0.0000,0.0393,0.0475
932.0000,0.0436,0.0000,0.0385,0.0468
933.0000,0.0429,0.0000,0.0377,0.0461
934.0000,0.0423,0.0000,0.0370,0.0452
935.0000,0.0417,0.0000,0.0365,0.0446
936.0000,0.0412,0.0000,0.0359,0.0440
937.0000,0.0407,0.0000,0.0353,0.0434
938.0000,0.0401,0.0000,0.0346,0.0428
939.0000,0.0397,0.0000,0.0340,0.0421
940.0000,0.0393,0.0000,0.0336,0.0415
941.0000,0.0389,0.0000,0.0331,0.0410
942.0000,0.0383,0.0000,0.0325,0.0405
943.0000,0.0377,0.0000,0.0319,0.0397
944.0000,0.0372,0.0000,0.0312,0.0389
945.0000,0.0367,0.0000,0.0306,0.0383
946.0000,0.0362,0.0000,0.0300,0.0377
947.0000,0.0358,0.0000,0.0254,0.0372
948.0000,0.0352,0.0000,0.0208,0.0367
949.0000,0.0347,0.0000,0.0164,0.0361
950.0000,0.0343,0.0000,0.0121,0.0355
951.0000,0.0340,0.0000,0.0080,0.0351
952.0000,0.0336,0.0000,0.0040,0.0345
953.0000,0.0330,0.0000,0.0000,0.0339
954.0000,0.0325,0.0000,0.0000,0.0333
955.0000,0.0320,0.0000,0.0000,0.0328
956.0000,0.0316,0.0000,0.0000,0.0323
957.0000,0.0311,0.0000,0.0000,0.0317
958.0000,0.0305,0.0000,0.0000,0.0311
959.0000,0.0300,0.0000,0.0000,0.0306
960.0000,0.0296,0.0000,0.0000,0.0302
961.0000,0.0293,0.0000,0.0000,0.0297
962.0000,0.0290,0.0000,0.0000,0.0293
963.0000,0.0286,0.0000,0.0000,0.0289
964.0000,0.0282,0.0000,0.0000,0.0286
965.0000,0.0279,0.0000,0.0000,0.0285
966.0000,0.0274,0.0000,0.0000,0.0283
967.0000,0.0268,0.0000,0.0000,0.0281
968.0000,0.0262,0.0000,0.0000,0.0277
969.0000,0.0257,0.0000,0.0000,0.0272
970.0000,0.0253,0.0000,0.0000,0.0268
971.0000,0.0250,0.0000,0.0000,0.0265
972.0000,0.0246,0.0000,0.0000,0.0261
973.0000,0.0242,0.0000,0.0000,0.0257
974.0000,0.0239,0.0000,0.0000,0.0252
975.0000,0.0236,0.0000,0.0000,0.0251
976.0000,0.0233,0.0000,0.0000,0.0248
977.0000,0.0228,0.0000,0.0000,0.0243
978.0000,0.0223,0.0000,0.0000,0.0238
979.0000,0.0220,0.0000,0.0000,0.0235
980.0000,0.0217,0.0000,0.0000,0.0232
981.0000,0.0214,0.0000,0.0000,0.0229
982.0000,0.0211,0.0000,0.0000,0.0225
983.0000,0.0208,0.0000,0.0000,0.0221
984.0000,0.0205,0.0000,0.0000,0.0218
985.0000,0.0201,0.0000,0.0000,0.0215
986.0000,0.0196,0.0000,0.0000,0.0212
987.0000,0.0192,0.0000,0.0000,0.0209
988.0000,0.0189,0.0000,0.0000,0.0204
989.0000,0.0186,0.0000,0.0000,0.0201
990.0000,0.0183,0.0000,0.0000,0.0198
991.0000,0.0180,0.0000,0.0000,0.0195
992.0000,0.0177,0.0000,0.0000,0.0192
993.0000,0.0174,0.0000,0.0000,0.0189
994.0000,0.0169,0.0000,0.0000,0.0186
995.0000,0.0164,0.0000,0.0000,0.0183
996.0000,0.0161,0.0000,0.0000,0.0180
997.0000,0.0158,0.0000,0.0000,0.0177
998.0000,0.0155,0.0000,0.0000,0.0174
999.0000,0.0153,0.0000,0.0000,0.0148
1000.0000,0.0151,0.0000,0.0000,0.0122
1001.0000,0.0150,0.0000,0.0000,0.0097
1002.0000,0.0148,0.0000,0.0000,0.0072
1003.0000,0.0146,0.0000,0.0000,0.0047
1004.0000,0.0143,0.0000,0.0000,0.0023
1005.0000,0.0142,0.0000,0.0000,0.0000
1006.0000,0.0140,0.0000,0.0000,0.0000
1007.0000,0.0139,0.0000,0.0000,0.0000
1008.0000,0.0139,0.0000,0.0000,0.0000
1009.0000,0.0139,0.0000,0.0000,0.0000
1010.0000,0.0139,0.0000,0.0000,0.0000
1011.0000,0.0139,0.0000,0.0000,0.0000
1012.0000,0.0139,0.0000,0.0000,0.0000
1013.0000,0.0138,0.0000,0.0000,0.0000
1014.0000,0.0137,0.0000,0.0000,0.0000
1015.0000,0.0135,0.0000,0.0000,0.0000
1016.0000,0.0134,0.0000,0.0000,0.0000
1017.0000,0.0132,0.0000,0.0000,0.0000
1018.0000,0.0131,0.0000,0.0000,0.0000
1019.0000,0.0129,0.0000,0.0000,0.0000
1020.0000,0.0128,0.0000,0.0000,0.0000
1021.0000,0.0128,0.0000,0.0000,0.0000
1022.0000,0.0128,0.0000,0.0000,0.0000
1023.0000,0.0128,0.0000,0.0000,0.0000
1024.0000,0.0128,0.0000,0.0000,0.0000
1025.0000,0.0110,0.0000,0.0000,0.0000
1026.0000,0.0091,0.0000,0.0000,0.0000
1027.0000,0.0073,0.0000,0.0000,0.0000
1028.0000,0.0055,0.0000,0.0000,0.0000
1029.0000,0.0037,0.0000,0.0000,0.0000
1030.0000,0.0018,0.0000,0.0000,0.0000
1031.0000,0.0000,0.0000,0.0000,0.0000
1032.0000,0.0000,0.0000,0.0000,0.0000
1033.0000,0.0000,0.0000,0.0000,0.0000
1034.0000,0.0000,0.0000,0.0000,0.0000
1035.0000,0.0000,0.0000,0.0000,0.0000
1036.0000,0.0000,0.0000,0.0000,0.0000
1037.0000,0.0000,0.0000,0.0000,0.0000
1038.0000,0.0000,0.0000,0.0000,0.0000
1039.0000,0.0000,0.0000,0.0000,0.0000
1040.0000,0.0000,0.0000,0.0000,0.0000
1041.0000,0.0000,0.0000,0.0000,0.0000
1042.0000,0.0000,0.0000,0.0000,0.0000
1043.0000,0.0000,0.0000,0.0000,0.0000
1044.0000,0.0000,0.0000,0.0000,0.0000
1045.0000,0.0000,0.0000,0.0000,0.0000
1046.0000,0.0000,0.0000,0.0000,0.0000
1047.0000,0.0000,0.0000,0.0000,0.0000
1048.0000,0.0000,0.0000,0.0000,0.0000
1049.0000,0.0000,0.0000,0.0000,0.0000
1050.0000,0.0000,0.0000,0.0000,0.0000
1051.0000,0.0000,0.0000,0.0000,0.0000
1052.0000,0.0000,0.0000,0.0000,0.0000
1053.0000,0.0000,0.0000,0.0000,0.0000
1054.0000,0.0000,0.0000,0.0000,0.0000
1055.0000,0.0000,0.0000,0.0000,0.0000
1056.0000,0.0000,0.0000,0.0000,0.0000
1057.0000,0.0000,0.0000,0.0000,0.0000
1058.0000,0.0000,0.0000,0.0000,0.0000
1059.0000,0.0000,0.0000,0.0000,0.0000
1060.0000,0.0000,0.0000,0.0000,0.0000
1061.0000,0.0000,0.0000,0.0000,0.0000
1062.0000,0.0000,0.0000,0.0000,0.0000
1063.0000,0.0000,0.0000,0.0000,0.0000
1064.0000,0.0000,0.0000,0.0000,0.0000
1065.0000,0.0000,0.0000,0.0000,0.0000
1066.0000,0.0000,0.0000,0.0000,0.0000
1067.0000,0.0000,0.0000,0.0000,0.0000
1068.0000,0.0000,0.0000,0.0000,0.0000
1069.0000,0.0000,0.0000,0.0000,0.0000
1070.0000,0.0000,0.0000,0.0000,0.0000
1071.0000,0.0000,0.0000,0.0000,0.0000
1072.0000,0.0000,0.0000,0.0000,0.0000
1073.0000,0.0000,0.0000,0.0000,0.0000
1074.0000,0.0000,0.0000,0.0000,0.0000
1075.0000,0.0000,0.0000,0.0000,0.0000
1076.0000,0.0000,0.0000,0.0000,0.0000
1077.0000,0.0000,0.0000,0.0000,0.0000
1078.0000,0.0000,0.0000,0.0000,0.0000
1079.0000,0.0000,0.0000,0.0000,0.0000
1080.0000,0.0000,0.0000,0.0000,0.0000
1081.0000,0.0000,0.0000,0.0000,0.0000
1082.0000,0.0000,0.0000,0.0000,0.0000
1083.0000,0.0000,0.0000,0.0000,0.0000
1084.0000,0.0000,0.0000,0.0000,0.0000
1085.0000,0.0000,0.0000,0.0000,0.0000
1086.0000,0.0000,0.0000,0.0000,0.0000
1087.0000,0.0000,0.0000,0.0000,0.0000
1088.0000,0.0000,0.0000,0.0000,0.0000
1089.0000,0.0000,0.0000,0.0000,0.0000
1090.0000,0.0000,0.0000,0.0000,0.0000
1091.0000,0.0000,0.0000,0.0000,0.0000
1092.0000,0.0000,0.0000,0.0000,0.0000
1093.0000,0.0000,0.0000,0.0000,0.0000
1094.0000,0.0000,0.0000,0.0000,0.0000
1095.0000,0.0000,0.0000,0.0000,0.0000
1096.0000,0.0000,0.0000,0.0000,0.0000
1097.0000,0.0000,0.0000,0.0000,0.0000
1098.0000,0.0000,0.0000,0.0000,0.0000
1099.0000,0.0000,0.0000,0.0000,0.0000
1100.0000,0.0000,0.0000,0.0000,0.0000
